pdf_url,course_code,course_name,semester
https://engcomp.ufc.br/wp-content/uploads/2020/08/cb0681-series-e-equacoes-diferenciais.pdf,CB0681,Séries e Equações Diferenciais,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/cb0699-Algebra-aplicada.pdf,CB0699,Álgebra Aplicada,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/cb0700-analise-aplicada.pdf,CB0700,Análise Aplicada,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0017-construcao-de-compiladores-i.pdf,CK0017,Construção de Compiladores I,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0045-logica-aplicada.pdf,CK0045,Lógica Aplicada,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0048-metodos-numericos-ii.pdf,CK0048,Métodos Numéricos II,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0091-computacao-grafica-ii.pdf,CK0091,Computação Gráfica II,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0102-empreendedor-em-informatica.pdf,CK0102,Empreendedor em Informática,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0111-Algoritmos-em-grafos.pdf,CK0111,Algoritmos em Grafos,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0115-linguagens-de-programacao-i.pdf,CK0115,Linguagens de Programação I,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0117-sistemas-de-gerenciamento-de-banco-de-dados.pdf,CK0117,Sistemas de Gerenciamento de Banco de Dados,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0125-teoria-dos-grafos.pdf,CK0125,Teoria dos Grafos,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0141-processamento-de-linguagem-natural.pdf,CK0141,Processamento de Linguagem Natural,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0148-computacao-de-alto-desempenho.pdf,CK0148,Computação de Alto Desempenho,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0150-gerenciamento-de-redes.pdf,CK0150,Gerenciamento de Redes,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0162-redes-de-alta-velocidade.pdf,CK0162,Redes de Alta Velocidade,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0165-analise-e-projeto-de-sistemas-orientados-a-objetos.pdf,CK0165,Análise e Projeto de Sistemas Orientados a Objetos,0
https://drive.google.com/uc?export=download&id=15X_cQUSstjNu0DVB4pkKvPA9RrLcaJcj,CK0207,Desenvolvimento de Software para Web,0
https://drive.google.com/uc?export=download&id=1mRHRX4Wi2R0shKnKyUOAqMF5b-xlU4xQ,CK0208,Engenharia de Software II,0
https://drive.google.com/uc?export=download&id=12Tc6LM6bPNBHFPOaEOAp_lrx9bFuGoKe,CK0223,Mineração de Dados,0
https://drive.google.com/uc?export=download&id=1V1hH7aFxvRpb1V_lOZHWbAcmtN22jpJp,CK0224,Padrões de Projetos de Software,0
https://drive.google.com/uc?export=download&id=1JVeFjoHIEqH9NmeAP7PAW9pemrOEAdZG,CK0231,Qualidade de Software,0
https://drive.google.com/uc?export=download&id=1B0PmAXPiZQnwHpacNaGME4KpbP9e6MXW,CK0241,"Verificação, Validação e Teste de Software",0
https://drive.google.com/uc?export=download&id=1yWc5xB6EBKNPj-XUpJKjenoGf0gIFH1G,CK0242,Visualização de Dados,0
https://drive.google.com/uc?export=download&id=1UF6z6NcsJACJXa5oRDSuB4lVxmwyXSW0,CK0250,Redes de Computadores II,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/hll0077-lingua-brasileira-de-sinais.pdf,LL0077,Língua Brasileira de Sinais,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/prg0002-relacoes-Etnico-raciais-e-africanidades.pdf,RG0002,Relações Étnico-Raciais e Africanidades,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/prg0003-eduacacao-ambiental.pdf,RG0003,Educação Ambiental,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/prg0004-educacao-em-direitos-humanos.pdf,RG0004,Educação em Direitos Humanos,0
https://drive.google.com/uc?export=download&id=17MQ6T1ZGuKEUEyoBcy-kPgb178TJX3rM,PRG0005,Direferenaa e Enfrentamento Profissional nas Desigualdades Sociais,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/th0230-eletrotecnica.pdf,TH0230,Eletrotécnica,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/th0231-laboratorio-de-eletrotecnica.pdf,TH0231,Laboratório de Eletrotécnica,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0053-guias-e-ondas.pdf,TI0053,Guias e Ondas,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0056-introducao-a-teoria-da-informacao.pdf,TI0056,Introdução à Teoria da Informação,0
https://drive.google.com/uc?export=download&id=1JYDlQbsZbtQ3nRXMuXn8Y6eXY9Ee0rsd,TI0060,Materiais Eletrônicos e Optoeletrônicos,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0066-laboratorio-de-pds.pdf,TI0066,Laboratório de PDS,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0076-sistemas-de-tempo-real.pdf,TI0076,Sistemas de Tempo Real,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0080-desenvolvimento-de-aplicacoes-para-web.pdf,TI0080,Desenvolvimento de Aplicações para Web,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0089-controle-em-tempo-real-por-computador.pdf,TI0089,Controle em Tempo Real por Computador,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0090-sistemas-inteligentes-em-controle-e-automacao-de-processos.pdf,TI0090,Sistemas Inteligentes em Controle e Automação de Processos,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0091-introducao-a-robotica.pdf,TI0091,Introdução à Robótica,0
